book_id,copy_count,access_type_sample
B_01c5c459918da2,1,
B_01c651521a5d41,2,
B_01c7e452a8dd54,2,
B_01c92e966332d6,2,
B_01cf6fa5a78d15,150,
B_01d39bfeafbf56,1,
B_01d5a37b7ebd2c,1,
B_01d67f763069cf,2,
B_01d7130cf03a3a,2,
B_01d8994ed87694,1,
B_01d9909f3e373b,4,
B_01dbdd6981f304,2,
B_01dd836e323b13,2,
B_01de43705d3750,2,
B_01e36deeef5feb,2,
B_01e5da520d8180,2,
B_01eb867abe1357,1,
B_01ec666f065c98,2,
B_01ee7c70517bdc,1,
B_01f0408295e09c,4,
B_01f2c0d5b14d38,1,
B_01f76305412d1a,2,
B_01fbd8404b4641,1,
B_01fc3f4202a78f,2,
B_01fd2dbb5bf5f8,1,
B_02005cbce84828,2,
B_0204d3b710bcc0,2,
B_0205b34a9400c8,2,
B_0206c390f30785,1,
B_020a52e5f96e4b,2,
B_020acb5826eacc,4,
B_020c66b529c902,1,
B_020cee17df4307,1,
B_020e37d765637b,2,
B_020ec5846127cc,1,
B_020f83f2c48d34,1,
B_0210d822c7a60c,1,
B_0211446a6d05c2,1,
B_0211fdd2c90bf9,1,
B_0213169aca2ba0,2,
B_021368ba380749,2,
B_02138f2252e6ba,2,
B_0214bed65f73e9,2,
B_0214e711765e77,1,
B_0216b198601f0b,1,
B_0219d703fbffeb,1,
B_021a5b316e9d6e,1,
B_021bdd9cbb2f05,2,
B_022018cf27295c,1,
B_02203a93550f5b,1,
B_02204c8857b65d,1,
B_022353eb18a2b0,26,
B_02251cee966c00,4,
B_022942fd12ef9e,2,
B_022a8a663e00b6,2,
B_022c7d5df1ae45,1,
B_022f300480db9a,1,
B_0230199b0c1da7,5,
B_023260a4d983aa,1,
B_0235cc4d48c2e6,1,
B_0236c8d24e90aa,2,
B_02397ba1f6a5b9,2,
B_0239a1ab3343fc,1,
B_023e64eaf52892,7,
B_023ee845316a83,2,
B_024182bae328d4,4,
B_02422d77c6d975,1,
B_0242752e5174c8,1,
B_0243a7ace9869f,1,
B_024e96168b42db,22,
B_024fc1d6fa46d5,4,
B_024fddb5e48519,1,
B_0250b5094088e4,4,
B_0258736ec72ef4,1,
B_025b89b750bf09,1,
B_025cd56d899928,1,
B_0262bcf5d767f0,2,
B_0266ea8312d286,2,
B_0267b63374d529,1,
B_02699c9ce49786,1,
B_026c24024a6457,2,
B_026c8116dcc40e,2,
B_026e2127b8003c,4,
B_026e9eb16ba813,1,
B_0276bb275e19b9,3,
B_027738e6372b49,2,
B_02777512e1456d,4,
B_0277a9631ac768,2,
B_027813b043d23f,1,
B_0278b034e24a84,1,
B_0279c0aef16b93,1,
B_027c6e5df3a2fb,2,
B_028013ff17764a,1,
B_0283ecf4a03fb4,28,Dapat dipinjam
B_0284de7a1eae37,1,
B_028711d695dc9d,2,
B_02890fc216f51b,1,
B_0289206613067f,1,
B_0289dac4895b0b,1,
B_028ae6e030a602,1,
B_028b66eeca4e92,8,
B_028de2d21b6d30,2,
B_0291c8c64ce696,1,
B_02960a4f3dcb16,1,
B_0297ed16ade1fa,1,
B_029896e06b1d8d,1,
B_029946ccf93d59,1,
B_029c5b802b14d5,1,
B_029d92fa609d6a,2,
B_029ee6f3927c01,1,
B_02a4037f410032,1,
B_02a4a167237001,6,
B_02a726858a1aa3,4,
B_02a8ccde30e82e,1,
B_02abee3cbf883e,1,
B_02b144ff68394e,1,
B_02b25bc439d356,2,
B_02b31a167042f9,4,
B_02b4d927854dcf,1,
B_02b5472142bfce,2,
B_02b6117e518bf4,1,
B_02b86077b46d14,2,
B_02bc136f04ae06,1,
B_02c0cc5a558054,1,
B_02c4ebdb11ef3e,1,
B_02c71df413a0d5,4,
B_02cc1144ff0996,1,
B_02ccd0e8ac6852,1,
B_02cde03279ff12,1,
B_02ce5e6cb0f429,1,
B_02cf306983e34c,1,
B_02d28bfc1cddf6,1,
B_02d489c3f36cf0,4,
B_02d50de53ce70e,1,
B_02d67b08957eb7,1,
B_02d6801229be9e,1,
B_02d702f28c2744,2,
B_02d782c7bc83cf,1,
B_02d7f9e601e1aa,1,
B_02d931e5e80edf,1,
B_02d9f07dac22f8,6,
B_02dbb797a7ea5b,2,
B_02dbf2adb38461,1,
B_02df209ec150ad,2,
B_02e0b4e5269b4f,1,
B_02e71509eeacb7,1,
B_02e989ef27d968,1,
B_02ea5e16d38f3e,1,
B_02ea6e95f58fb6,1,
B_02ebea6e2efa3d,1,
B_02ed8a0af0fb43,2,
B_02ef15d70d0d15,2,
B_02f3085e0f9156,4,
B_02f75fa038ffe2,1,
B_02f7654d186be2,10,
B_02f9167c5342c4,4,
B_02fa33ea3e8c70,4,
B_02fc9ff6ee4257,1,
B_02fea891d4ad17,1,
B_030526965766c9,4,
B_03060486ca7d63,4,
B_0306ffdc713cbf,27,
B_030aac7b393b0d,1,
B_030bd461aa4988,2,
B_030cbeb883df99,2,
B_030d2fb5e0224c,1,
B_0314f8b7c6b3e2,1,
B_0316c5f09d249e,1,
B_0316db0ce45339,1,
B_03195541238eb7,1,
B_0319bb450af184,1,
B_031b43e850ba00,1,
B_031c82ef37d9a8,2,
B_031ca96e29340e,1,
B_031e6461e45c79,1,
B_031f8032b2fd8a,2,
B_0325bb1ed14c83,1,
B_03264523b88ac5,1,
B_032707c6c861cc,1,
B_0327c00e7419b0,1,
B_0328ccabc2edbc,2,
B_032a316ff0fb85,2,
B_032a7a3fc185f9,1,
B_032b534ba87e45,2,
B_032b754f9d2061,1,
B_032d4b8e0715f0,1,
B_032e3efa5e56e1,1,
B_03314c0da6126e,1,
B_0337a91534bb93,2,Dapat dipinjam
B_0337bbc1426735,1,
B_0337bfc774d180,1,
B_0337c3000cb780,2,
B_0337d704ebff8f,2,
B_0339003e5d9ca7,2,
B_033ad2cd97362b,5,
B_033af60e6e4ab5,1,
B_033bc0e382e696,1,
B_033bf43674d305,1,
B_033d0df81dd3d4,1,
B_034732a93f53f5,1,
B_034b92918b2da8,1,
B_034de22eb98015,1,
B_0351cf9ff67f62,1,
B_0352da228e71e2,2,
B_0355d8c02364ff,3,
B_0357720d84bdb5,1,
B_0358432854f400,8,
B_035888eff53867,1,
B_0359ba2dc46804,2,
B_035b6f8f88caa9,8,
B_035baf270b5afd,1,
B_035c14126d7dd2,1,
B_035c43c1eba423,1,
B_036110557cb426,1,
B_0366a0dc02d134,1,
B_0368059038b2b5,1,
B_036ad891f990a7,1,
B_036c4991dbedba,1,
B_036cf6acd55d4b,2,
B_036dede50a072d,4,
B_036e37324ada27,1,
B_036f388df0a4b4,1,
B_0371123c5b2544,1,
B_03728dd03cf765,1,
B_0372f07cfb0a2c,1,
B_0377a0361e56c8,1,
B_037b4c43708945,2,
B_037b88ca0ec7ab,2,
B_037e5bd99c7b47,1,
B_037eeae3e431ea,2,
B_0380c1f3cc2083,2,
B_03820998b7fda8,1,
B_0382e6fb5c821f,2,
B_03844bb93e9d76,2,
B_0385628a892727,1,
B_038754dcad6dd4,2,
B_038772cd5abf51,2,
B_0387eb21d8898a,6,
B_0388441055728a,1,
B_038a496c0743da,2,
B_038c26ff6290f0,1,
B_038c7f2f352c6c,1,
B_038cb67ca2cc3e,2,
B_038cc48777375a,1,
B_038dcde1b75b67,1,
B_03907f9519c7c9,4,
B_039114b2ba9d6c,1,
B_0392253f32ccd2,1,
B_03929fdf0f10a4,2,
B_0393c75799e481,1,
B_0394c1224a97c4,1,Dapat dipinjam
B_039533f95886af,2,
B_039a78eae75544,1,
B_039cb6992ffa4b,1,
B_039edc4715501d,1,
B_03a16873d6744f,1,
B_03a176b61c0c08,1,
B_03a2db482fbd41,2,
B_03a32814bf96f3,2,
B_03a6533fbe6bff,2,
B_03a70b6ffba61e,1,
B_03a7774bbb7bc0,2,
B_03a80d19f41f65,2,
B_03a8421dfe610e,1,
B_03ac96c51f17d9,2,
B_03b0223ec45edc,6,
B_03b1cfc78f3c62,1,
